date,state,positive,negative,recovered,death,deathIncrease,negativeIncrease,positiveIncrease,total,posNeg,state_ch,state_en
3.14,RI,20,198,0,0,0,56,6,275,218,罗得岛州（罗德岛州）,Rhode Island
3.14,SC,13,110,0,0,0,35,1,123,123,南卡罗来纳州,South Carolina
3.14,SD,9,182,0,0,0,109,0,194,191,南达科他州,South Dakota
3.14,TN,32,130,0,0,0,14,6,162,162,田纳西州,Tennessee
3.14,TX,51,0,0,0,0,0,12,51,51,得克萨斯州,Texas
3.14,UT,6,131,0,0,0,0,0,137,137,犹他州,Utah
3.14,VA,30,117,0,0,0,0,0,147,147,弗吉尼亚州,Virginia
3.14,VT,4,227,0,0,0,85,2,231,231,佛蒙特州,Vermont
3.14,WA,806,16783,0,51,4,2185,104,17589,17589,华盛顿州,Washington
3.14,WI,19,169,0,0,0,0,0,188,188,威斯康辛州（威斯康星州）,Wisconsin
3.14,WV,0,26,0,0,0,9,0,31,26,西弗吉尼亚州,Wst Virginia
3.14,WY,2,0,0,0,0,0,1,2,2,怀俄明州,Wyoming
3.15,AK,1,143,0,0,0,0,0,144,144,阿拉斯加州,Alaska
3.15,AL,12,28,0,0,0,6,6,86,40,阿拉巴马州,Alabama
3.15,AR,16,103,0,0,0,38,4,149,119,阿肯色州,Arkansas
3.15,AZ,12,121,0,0,0,0,0,183,133,亚利桑那州,Arizona
3.15,CA,293,916,0,5,0,0,41,1209,1209,加利福尼亚州,California
3.15,CO,131,627,0,1,0,17,30,758,758,科罗拉多州,Colorado
3.15,CT,20,125,0,0,0,0,9,145,145,康涅狄格州,Connecticut
3.15,DE,6,36,0,0,0,0,0,74,42,特拉华州,Delaware
3.15,FL,116,678,0,4,1,200,39,1248,794,佛罗里达州,Florida
3.15,GA,99,0,0,1,0,0,33,99,99,乔治亚州（佐治亚州）,Georgia
3.15,HI,2,0,0,0,0,0,0,2,2,夏威夷州,Hawaii
3.15,IA,18,83,0,0,0,0,1,101,101,爱荷华州（艾奥瓦州）（衣阿华州）,Iowa
3.15,ID,5,174,0,0,0,0,3,179,179,爱达荷州,Idaho
3.15,IL,64,449,0,0,0,133,18,708,513,伊利诺斯州,Illinois
